scorevideo	LOG							
File:	logXCB1_log.mat							
								
VIDEO	FILE	SET						
Videotype:	AVI							
Directory:	F:\Roya\Color	Beh	for	Roya\NEW	XCB	cohort\XCB1	Blue	081017\
Video	file	set:						
	XCB1	Blue	81017	1-116535				
Play	duration	(min):	64.742					
Frames/sec	of	files:	30					
No.	of	subjects:	2					
								
COMMAND	SET	AND	SETTINGS					
-------------------------------								
start	stop	subject	description					
-------------------------------								
A	0	attack	female					
C	0	chase	female					
D	0	yellow	lateral	display	(right)			
F	0	flee	from	female				
Q	0	quiver	at	female				
a	0	attack	male					
b	0	attack	blue	(left)				
c	0	chase	male					
d	0	blue	lateral	display	(left)			
e	0	pot	entry					
f	0	flee	from	male				
p	0	dig						
q	0	quiver	at	male				
r	0	frontal	display					
s	0	lead	swim					
x	0	pot	exit					
y	0	attack	yellow	(right)				
-------------------------------								
subject	1:00	subject1						
subject	2:00	subject2						
subj#:	0=either	1=subject1	2=subject2	3=both				
No.	of	simultaneous	behaviors:	one				
								
RAW	LOG							
------------------------------------------								
frame	time(min:sec)	command						
------------------------------------------								
54009	30:00.3	b						
54051	30:01.7	b						
54087	30:02.9	b						
54249	30:08.3	d						
54341	30:11.4	Q						
54441	30:14.7	f						
54575	30:19.2	d						
54619	30:20.6	A						
54777	30:25.9	d						
54845	30:28.2	s						
54951	30:31.7	s						
55019	30:34.0	s						
55055	30:35.2	Q						
55195	30:39.8	b						
55495	30:49.8	d						
55577	30:52.6	A						
55631	30:54.4	Q						
55729	30:57.6	Q						
55769	30:59.0	b						
55907	31:03.6	s						
56105	31:10.2	C						
56573	31:25.8	Q						
56613	31:27.1	Q						
56711	31:30.4	Q						
56759	31:32.0	s						
56925	31:37.5	b						
56953	31:38.4	b						
56999	31:40.0	d						
57111	31:43.7	b						
57177	31:45.9	d						
57339	31:51.3	b						
57427	31:54.2	A						
57607	32:00.2	Q						
57663	32:02.1	s						
57847	32:08.2	A						
57925	32:10.8	d						
58059	32:15.3	C						
58157	32:18.6	b						
58199	32:20.0	d						
58273	32:22.4	b						
58323	32:24.1	d						
58397	32:26.6	b						
58615	32:33.8	b						
58669	32:35.6	d						
58743	32:38.1	A						
58775	32:39.2	Q						
58787	32:39.6	Q						
58863	32:42.1	b						
58897	32:43.2	d						
59091	32:49.7	b						
59143	32:51.4	d						
59243	32:54.8	b						
59315	32:57.2	b						
59421	33:00.7	b						
59659	33:08.6	d						
59751	33:11.7	b						
59823	33:14.1	b						
59935	33:17.8	s						
59997	33:19.9	s						
60119	33:24.0	s						
60145	33:24.8	A						
60181	33:26.0	b						
60271	33:29.0	b						
60343	33:31.4	b						
60413	33:33.8	b						
60519	33:37.3	b						
60639	33:41.3	b						
60789	33:46.3	d						
60919	33:50.6	s						
60949	33:51.6	Q						
61017	33:53.9	s						
61077	33:55.9	Q						
61145	33:58.2	s						
61221	34:00.7	s						
61311	34:03.7	Q						
