scorevideo	LOG
File:	logXCB15_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB15	Blue	082417	1-126360
Play	duration	(min):	70.200
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
54083	30:02.77	d
54323	30:10.77	d
54443	30:14.77	d
54563	30:18.77	d
54739	30:24.63	b
54789	30:26.30	d
54867	30:28.90	b
54889	30:29.63	d
55013	30:33.77	d
55085	30:36.17	d
55245	30:41.50	d
55371	30:45.70	d
55447	30:48.23	d
55543	30:51.43	b
55575	30:52.50	d
55653	30:55.10	d
55835	31:01.17	d
56041	31:08.03	d
56575	31:25.83	d
56741	31:31.37	b
56875	31:35.83	d
56981	31:39.37	b
57039	31:41.30	d
57119	31:43.97	d
57237	31:47.90	b
57389	31:52.97	d
57499	31:56.63	d
57615	32:00.50	d
57823	32:07.43	d
57873	32:09.10	b
58085	32:16.17	d
58133	32:17.77	b
58293	32:23.10	d
58531	32:31.03	d
58761	32:38.70	d
58959	32:45.30	d
59073	32:49.10	d
63759	35:25.30	A
76381	42:26.03	A
76425	42:27.50	d
76497	42:29.90	d
76555	42:31.83	d
76671	42:35.70	d
76755	42:38.50	d
76859	42:41.97	d
76929	42:44.30	d
77015	42:47.17	d
77189	42:52.97	d
77357	42:58.57	d
77647	43:08.23	d
77791	43:13.03	d
77999	43:19.97	b
78075	43:22.50	d
78193	43:26.43	d
78315	43:30.50	b
78377	43:32.57	d
78479	43:35.97	d
78699	43:43.30	b
78735	43:44.50	d
78813	43:47.10	b
78895	43:49.83	d
79073	43:55.77	b
79115	43:57.17	d
79213	44:00.43	d
79313	44:03.77	d
79417	44:07.23	b
79447	44:08.23	d
79565	44:12.17	d
79757	44:18.57	D
80297	44:36.57	d
80441	44:41.37	d
80575	44:45.83	d
80719	44:50.63	d
80849	44:54.97	b
80939	44:57.97	d
81185	45:06.17	d
81375	45:12.50	d
81713	45:23.77	d
83859	46:35.30	A
88265	49:02.17	d
88359	49:05.30	d
88565	49:12.17	e
88727	49:17.57	x
88873	49:22.43	d
88987	49:26.23	d
89071	49:29.03	d
89195	49:33.17	d
89345	49:38.17	d
89445	49:41.50	b
89475	49:42.50	d
89573	49:45.77	d
89723	49:50.77	d
89923	49:57.43	d
89993	49:59.77	d
90035	50:01.17	b
90065	50:02.17	d
90125	50:04.17	b
90161	50:05.37	b
90189	50:06.30	d
90231	50:07.70	b
90287	50:09.57	d
90361	50:12.03	d
90499	50:16.63	d
90605	50:20.17	b
90627	50:20.90	d
90713	50:23.77	b
90749	50:24.97	d
90829	50:27.63	b
90859	50:28.63	d
90963	50:32.10	b
91091	50:36.37	b
91139	50:37.97	d
91281	50:42.70	d
91379	50:45.97	d
91521	50:50.70	d
91693	50:56.43	b
91759	50:58.63	d
91849	51:01.63	b
91913	51:03.77	d
92009	51:06.97	b
92033	51:07.77	d
92161	51:12.03	d
92277	51:15.90	d
92373	51:19.10	b
92449	51:21.63	d
92503	51:23.43	d
92575	51:25.83	d
92789	51:32.97	d
92939	51:37.97	d
93081	51:42.70	d
93161	51:45.37	d
93593	51:59.77	d
93717	52:03.90	d
93861	52:08.70	d
93907	52:10.23	d
94057	52:15.23	d
94131	52:17.70	b
94209	52:20.30	d
94369	52:25.63	d
94423	52:27.43	b
95215	52:53.83	d
96147	53:24.90	e
96237	53:27.90	x
96279	53:29.30	d
96403	53:33.43	d
96471	53:35.70	d
96627	53:40.90	d
96737	53:44.57	d
96893	53:49.77	b
96955	53:51.83	d
97293	54:03.10	d
97391	54:06.37	b
97495	54:09.83	b
97533	54:11.10	d
97651	54:15.03	b
97727	54:17.57	d
97807	54:20.23	d
97895	54:23.17	b
97951	54:25.03	d
98065	54:28.83	b
98089	54:29.63	d
98159	54:31.97	b
98275	54:35.83	d
98339	54:37.97	b
98363	54:38.77	d
98449	54:41.63	d
98545	54:44.83	b
98625	54:47.50	d
98721	54:50.70	C
98949	54:58.30	d
99115	55:03.83	D
99175	55:05.83	y
99291	55:09.70	D
99425	55:14.17	D
99555	55:18.50	D
100215	55:40.50	d
100325	55:44.17	d
100473	55:49.10	b
100501	55:50.03	d
100575	55:52.50	b
100639	55:54.63	d
100711	55:57.03	b
100769	55:58.97	d
100885	56:02.83	d
101021	56:07.37	d
101065	56:08.83	b
101129	56:10.97	d
101215	56:13.83	b
101285	56:16.17	d
101357	56:18.57	b
101439	56:21.30	b
101465	56:22.17	d
101569	56:25.63	b
101691	56:29.70	d
101749	56:31.63	b
101857	56:35.23	d
101957	56:38.57	b
102017	56:40.57	A
102161	56:45.37	d
102373	56:52.43	d
102591	56:59.70	d
102825	57:07.50	d
102909	57:10.30	b
102991	57:13.03	d
103193	57:19.77	d
103515	57:30.50	d
104005	57:46.83	d
104373	57:59.10	d
104533	58:04.43	d
104663	58:08.77	A
104877	58:15.90	A
107303	59:36.77	d
107397	59:39.90	d
107473	59:42.43	d
107599	59:46.63	d
107781	59:52.70	d
------------------------------------------

FULL	LOG
------------------------------------------
frame	time(min:sec)	description	action	subject
------------------------------------------
54083	30:02.77	blue	lateral	display	(left)	either
54323	30:10.77	blue	lateral	display	(left)	either
54443	30:14.77	blue	lateral	display	(left)	either
54563	30:18.77	blue	lateral	display	(left)	either
