scorevideo	LOG
File:
logXCB7_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:msng	XCB7	Blue	081617	1-166545
Play	duration	(min):	92.525
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
54133	30:04.43	q
54475	30:15.83	d
54567	30:18.90	b
54589	30:19.63	d
54735	30:24.50	d
54845	30:28.17	d
54919	30:30.63	b
54967	30:32.23	d
55237	30:41.23	Q
55253	30:41.77	A
55403	30:46.77	s
55469	30:48.97	C
55521	30:50.70	A
55643	30:54.77	d
56711	31:30.37	s
56757	31:31.90	A
57517	31:57.23	A
58759	32:38.63	A
58805	32:40.17	y
59097	32:49.90	s
59749	33:11.63	y
59841	33:14.70	C
60051	33:21.70	C
60125	33:24.17	s
60321	33:30.70	C
60417	33:33.90	y
60931	33:51.03	d
61045	33:54.83	b
61085	33:56.17	d
61357	34:05.23	b
61383	34:06.10	d
61561	34:12.03	Q
61851	34:21.70	C
61923	34:24.10	Q
62067	34:28.90	A
62085	34:29.50	A
62119	34:30.63	Q
62213	34:33.77	d
62287	34:36.23	e
62453	34:41.77	x
62533	34:44.43	Q
62725	34:50.83	d
62803	34:53.43	d
62873	34:55.77	A
62921	34:57.37	A
62971	34:59.03	b
63033	35:01.10	d
63085	35:02.83	b
63111	35:03.70	d
63169	35:05.63	b
63189	35:06.30	d
63357	35:11.90	A
63391	35:13.03	Q
63733	35:24.43	Q
63765	35:25.50	A
64055	35:35.17	d
64301	35:43.37	e
64395	35:46.50	x
64505	35:50.17	Q
64569	35:52.30	s
64665	35:55.50	d
64759	35:58.63	d
64931	36:04.37	s
65319	36:17.30	b
65357	36:18.57	d
65461	36:22.03	d
65591	36:26.37	d
65843	36:34.77	d
65917	36:37.23	d
65947	36:38.23	b
65979	36:39.30	d
66359	36:51.97	y
66437	36:54.57	d
66531	36:57.70	b
66585	36:59.50	d
66657	37:01.90	A
66739	37:04.63	A
66795	37:06.50	A
66901	37:10.03	A
67039	37:14.63	Q
67315	37:23.83	b
67337	37:24.57	d
67451	37:28.37	b
67487	37:29.57	d
67613	37:33.77	b
67643	37:34.77	d
67743	37:38.10	d
67775	37:39.17	b
67829	37:40.97	d
68233	37:54.43	Q
68653	38:08.43	b
68693	38:09.77	d
68775	38:12.50	b
68795	38:13.17	d
68863	38:15.43	d
68899	38:16.63	b
68925	38:17.50	d
69179	38:25.97	C
69489	38:36.30	d
69797	38:46.57	Q
70381	39:06.03	C
70431	39:07.70	y
70603	39:13.43	C
71089	39:29.63	d
71395	39:39.83	Q
71681	39:49.37	d
71811	39:53.70	e
71843	39:54.77	x
71877	39:55.90	A
72607	40:20.23	b
72637	40:21.23	d
72777	40:25.90	Q
73431	40:47.70	A
73871	41:02.37	e
74115	41:10.50	x
74261	41:15.37	d
74391	41:19.70	d
74493	41:23.10	d
74531	41:24.37	b
74585	41:26.17	d
74649	41:28.30	b
74681	41:29.37	d
74749	41:31.63	b
74815	41:33.83	b
74865	41:35.50	d
74943	41:38.10	b
74987	41:39.57	d
75107	41:43.57	A
75181	41:46.03	d
75215	41:47.17	b
75245	41:48.17	d
75307	41:50.23	b
75341	41:51.37	d
75443	41:54.77	A
75621	42:00.70	Q
75747	42:04.90	s
75843	42:08.10	s
75903	42:10.10	A
76157	42:18.57	e
76269	42:22.30	x
76325	42:24.17	A
76433	42:27.77	s
76529	42:30.97	Q
76587	42:32.90	Q
76723	42:37.43	A
76923	42:44.10	d
77035	42:47.83	b
77097	42:49.90	d
77193	42:53.10	d
77255	42:55.17	b
77271	42:55.70	d
77339	42:57.97	d
77379	42:59.30	b
77415	43:00.50	d
77497	43:03.23	s
77627	43:07.57	A
77665	43:08.83	A
77789	43:12.97	A
78415	43:33.83	y
78499	43:36.63	b
78539	43:37.97	d
78701	43:43.37	d
78793	43:46.43	d
78803	43:46.77	b
78839	43:47.97	b
78943	43:51.43	b
78965	43:52.17	d
79023	43:54.10	b
79059	43:55.30	d
79133	43:57.77	b
79257	44:01.90	b
79273	44:02.43	d
79331	44:04.37	d
79365	44:05.50	b
79413	44:07.10	d
79929	44:24.30	d
80099	44:29.97	d
80157	44:31.90	A
80297	44:36.57	A
80393	44:39.77	Q
81473	45:15.77	y
81647	45:21.57	e
81751	45:25.03	p
81833	45:27.77	x
82021	45:34.03	A
82071	45:35.70	C
82161	45:38.70	y
82529	45:50.97	e
82553	45:51.77	x
82757	45:58.57	A
82873	46:02.43	d
83171	46:12.37	d
83281	46:16.03	d
83363	46:18.77	b
83395	46:19.83	d
83471	46:22.37	A
83559	46:25.30	Q
83731	46:31.03	d
83823	46:34.10	A
83869	46:35.63	C
84099	46:43.30	d
84371	46:52.37	d
84449	46:54.97	d
84567	46:58.90	Q
84673	47:02.43	A
84755	47:05.17	C
84893	47:09.77	b
84939	47:11.30	d
85025	47:14.17	d
85163	47:18.77	b
85193	47:19.77	d
85397	47:26.57	A
85583	47:32.77	b
85629	47:34.30	d
85879	47:42.63	d
85965	47:45.50	d
86021	47:47.37	d
86091	47:49.70	b
86107	47:50.23	d
86177	47:52.57	b
86219	47:53.97	d
86289	47:56.30	b
86397	47:59.90	d
86461	48:02.03	b
86485	48:02.83	d
86539	48:04.63	b
86549	48:04.97	d
86585	48:06.17	b
