scorevideo	LOG
File:	logXCB10_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	F:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB10	Yellow	082117	1-116730
Play	duration	(min):	64.850
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
53929	29:57.63	x
54059	30:01.97	b
54125	30:04.17	b
54203	30:06.77	d
54303	30:10.10	y
54571	30:19.03	b
54619	30:20.63	d
55109	30:36.97	b
55589	30:52.97	Q
55785	30:59.50	s
55815	31:00.50	b
55955	31:05.17	d
56091	31:09.70	d
56149	31:11.63	A
56187	31:12.90	A
56293	31:16.43	b
56323	31:17.43	d
56363	31:18.77	A
56499	31:23.30	b
56529	31:24.30	d
56619	31:27.30	b
56639	31:27.97	d
56713	31:30.43	b
56733	31:31.10	d
56767	31:32.23	b
56857	31:35.23	d
56927	31:37.57	b
56995	31:39.83	d
57047	31:41.57	d
57187	31:46.23	d
57239	31:47.97	d
57337	31:51.23	b
57383	31:52.77	b
57433	31:54.43	b
57469	31:55.63	d
57567	31:58.90	b
57711	32:03.70	d
57965	32:12.17	A
58053	32:15.10	C
58155	32:18.50	A
58421	32:27.37	d
58515	32:30.50	b
58563	32:32.10	b
58601	32:33.37	d
58671	32:35.70	d
58819	32:40.63	A
58857	32:41.90	A
59241	32:54.70	d
59459	33:01.97	D
59555	33:05.17	D
59737	33:11.23	y
59857	33:15.23	y
59969	33:18.97	D
60085	33:22.83	y
60103	33:23.43	D
60161	33:25.37	D
60229	33:27.63	A
60259	33:28.63	y
60313	33:30.43	y
60477	33:35.90	D
60615	33:40.50	D
60725	33:44.17	y
60813	33:47.10	D
60891	33:49.70	D
60965	33:52.17	y
61015	33:53.83	D
61087	33:56.23	D
61157	33:58.57	y
61219	34:00.63	D
61317	34:03.90	y
61387	34:06.23	D
61561	34:12.03	y
61675	34:15.83	D
61805	34:20.17	D
61905	34:23.50	y
61973	34:25.77	y
62035	34:27.83	D
62203	34:33.43	A
62423	34:40.77	d
62451	34:41.70	A
62541	34:44.70	C
62609	34:46.97	s
62819	34:53.97	A
62961	34:58.70	d
63073	35:02.43	b
63125	35:04.17	d
63159	35:05.30	b
63199	35:06.63	d
